feature	edgeR:P	voom:adjP	DESeq2:score
ENSG00000000457	0.117802365	0.137514623	0.274811698
ENSG00000000460	0.110141328	0.282639822	0.359226203
ENSG00000000938	0.812824506	0.939966865	0.001526355
ENSG00000000971	0.844968618	0.949232528	0.008182751
ENSG00000001460	8.34E-21	4.57E-09	3.74107729
ENSG00000001461	0.220031187	0.309683982	0.217548745
ENSG00000004455	3.17E-79	1.52E-15	5.88691827
ENSG00000004487	0.452236742	0.645164413	0.07856136
ENSG00000006555	0.113877491	0.187631805	0.327165082
ENSG00000007341	4.75E-62	8.36E-15	2.71528107
ENSG00000007908	0.958311687	0.880627839	0.065019398
ENSG00000007923	0.11741311	0.230247309	0.255090566
ENSG00000007933	0.144600884	0.204736777	0.627066851
ENSG00000007968	0.022520807	0.050434193	0.522159598
ENSG00000008118	0.692390879	0.786062573	0.12210076
ENSG00000008128	0.387953057	0.456105128	0.145569952
ENSG00000008130	0.526582555	0.642426467	0.039804823
ENSG00000009307	0.655332566	0.916723677	0.043276788
ENSG00000009724	0.570409855	0.42052501	0.246221231
ENSG00000009780	0.943219638	0.985949596	0.059390777
ENSG00000009790	0.144803423	0.189011063	0.241179921
ENSG00000010072	1.95E-25	5.62E-08	2.852753239
ENSG00000010165	0.090389096	0.154843673	0.285315036
ENSG00000010803	8.67E-134	1.04E-17	4.236093605
ENSG00000010932	0.150407261	0.339658209	0.485395752
ENSG00000011007	1.02E-26	2.32E-10	1.839767837
ENSG00000011009	9.25E-126	7.83E-21	4.316918445
ENSG00000011021	3.14E-17	5.01E-08	1.548491164
ENSG00000014914	0.129520735	0.158585926	0.238730237
ENSG00000016490	0.181983919	0.265135242	0.442036395
ENSG00000016602	3.93E-62	1.21E-14	7.284965159
ENSG00000018625	8.39E-59	1.89E-15	2.223695258
ENSG00000020129	0.632491282	0.705659665	0.114901711
ENSG00000020633	1.13E-51	4.96E-09	5.574051728
ENSG00000023572	2.24E-12	3.75E-06	1.848095424
ENSG00000023902	0.23782597	0.284447895	0.099551974
ENSG00000023909	0.030421307	0.087665686	0.427539202
ENSG00000024526	0.582723924	0.987305607	0.143717119
ENSG00000025800	0.167527688	0.375883418	0.29376136
ENSG00000026751	0.759099639	0.813279569	0.087445805
ENSG00000027644	0.543281425	0.400765403	0.295419735
ENSG00000027869	0.744547776	0.8407896	0.014225032
ENSG00000028137	0.536834936	0.651033359	0.131365337
ENSG00000031698	0.023586908	0.040331171	0.28208726
ENSG00000033122	2.83E-07	1.77E-05	1.302038997
ENSG00000034971	0.192384809	0.304700102	0.228219035
ENSG00000035687	5.31E-30	3.42E-10	2.317805276
ENSG00000036549	0.729482993	0.769861265	0.088418593
ENSG00000037637	1.68E-22	2.93E-09	1.7190988
ENSG00000040487	0.522745107	0.795956691	0.074986449
ENSG00000041988	0.010685352	0.023353459	0.545582352
ENSG00000042781	0.761802594	0.450691501	0.181259074
ENSG00000043514	0.870353483	0.875799955	0.023353933
ENSG00000044012	0.693200342	0.743292778	0.148154849
ENSG00000047410	2.39E-15	6.86E-08	2.489730338
ENSG00000048707	2.25E-146	5.07E-18	4.230076523
ENSG00000049089	0.216722685	0.353627055	0.293200354
ENSG00000049239	0.057155178	0.072174508	0.359378385
ENSG00000049245	0.287798358	0.430864009	0.162607756
ENSG00000049246	2.31E-80	3.30E-16	3.330145024
ENSG00000049247	0.918567094	0.098065726	0.019042222
ENSG00000049249	1.90E-25	2.59E-08	3.877228433
ENSG00000050628	1.06E-08	4.33E-06	1.105106707
ENSG00000052723	0.99685945	0.874310137	0.047719135
ENSG00000053371	3.47E-65	6.80E-15	5.866831529
ENSG00000053372	8.99E-48	2.01E-13	5.979696184
ENSG00000054116	1.12E-15	1.11E-07	3.972270199
ENSG00000054118	0.534295458	0.718842735	0.155392422
ENSG00000054267	0.12975015	0.303794039	0.36963621
ENSG00000054277	0.163264562	0.462529276	0.29391327
ENSG00000054282	3.98E-33	3.00E-12	2.016557141
ENSG00000054392	0.654901532	0.964966414	0.148834509
ENSG00000054523	0.650306746	0.753988981	0.09876019
ENSG00000055070	0.091697583	0.097231825	0.290440174
ENSG00000055732	0.347730649	0.971739734	0.402886293
ENSG00000057252	0.218719826	0.282550812	0.206014563
ENSG00000057468	0.690476297	0.916723677	0.276474358
ENSG00000057757	0.12622664	0.211086148	0.197182279
ENSG00000058085	0.249287603	0.302087891	0.104464214
ENSG00000058453	6.20E-13	6.62E-07	1.986934873
ENSG00000058668	2.06E-05	2.50E-05	0.504170579
