feature	status	n_isoforms	logFC	logFC_cat	expr	expr_cat
ENSG00000000457	0	5	0	[ 0.000, 0.297)	8.5257738	[2.85e+00,1.45e+01)
ENSG00000000460	0	10	0	[ 0.000, 0.297)	3.3145437	[2.85e+00,1.45e+01)
ENSG00000000938	0	8	0	[ 0.000, 0.297)	11.543626	[2.85e+00,1.45e+01)
ENSG00000000971	0	6	0	[ 0.000, 0.297)	163.547797	[1.45e+01,2.43e+04]
ENSG00000001460	1	13	3.93942204325368	[ 3.540,24.063]	3.7925225	[2.85e+00,1.45e+01)
ENSG00000001461	1	8	0.0602244207363294	[ 0.000, 0.297)	20.396122	[1.45e+01,2.43e+04]
ENSG00000004455	1	13	6.19980977570278	[ 3.540,24.063]	62.536707	[1.45e+01,2.43e+04]
ENSG00000004487	0	7	0	[ 0.000, 0.297)	25.105739	[1.45e+01,2.43e+04]
ENSG00000006555	1	5	0.00890742623555263	[ 0.000, 0.297)	8.6844515	[2.85e+00,1.45e+01)
ENSG00000007341	1	32	2.43421354001954	[ 1.350, 3.540)	52.86430169576	[1.45e+01,2.43e+04]
ENSG00000007908	0	10	0	[ 0.000, 0.297)	0.212504401755288	[0.00e+00,2.77e-01)
ENSG00000007923	1	14	0.799657858675313	[ 0.297, 1.350)	51.36785	[1.45e+01,2.43e+04]
ENSG00000007933	0	9	0	[ 0.000, 0.297)	1.2529181	[2.77e-01,2.85e+00)
ENSG00000007968	0	2	0	[ 0.000, 0.297)	1.7382889	[2.77e-01,2.85e+00)
ENSG00000008118	0	4	0	[ 0.000, 0.297)	0.316864	[2.77e-01,2.85e+00)
ENSG00000008128	0	24	0	[ 0.000, 0.297)	30.4815000210897	[1.45e+01,2.43e+04]
ENSG00000008130	1	19	0.0738968765134198	[ 0.000, 0.297)	46.09457445	[1.45e+01,2.43e+04]
ENSG00000009307	0	17	0	[ 0.000, 0.297)	326.073381176096	[1.45e+01,2.43e+04]
ENSG00000009709	0	3	0	[ 0.000, 0.297)	0.0150752	[0.00e+00,2.77e-01)
ENSG00000009724	0	4	0	[ 0.000, 0.297)	1.2080382	[2.77e-01,2.85e+00)
ENSG00000009780	1	7	0.270816566437697	[ 0.000, 0.297)	7.8211235	[2.85e+00,1.45e+01)
ENSG00000009790	0	18	0	[ 0.000, 0.297)	20.897652	[1.45e+01,2.43e+04]
ENSG00000010072	1	6	2.20756514358121	[ 1.350, 3.540)	3.2028519	[2.85e+00,1.45e+01)
ENSG00000010165	0	9	0	[ 0.000, 0.297)	17.812495	[1.45e+01,2.43e+04]
ENSG00000010803	1	17	4.3581167130297	[ 3.540,24.063]	9.875281	[2.85e+00,1.45e+01)
ENSG00000010932	1	8	0.0956238379960887	[ 0.000, 0.297)	0.7092066	[2.77e-01,2.85e+00)
ENSG00000011007	0	2	0	[ 0.000, 0.297)	12.596495	[2.85e+00,1.45e+01)
ENSG00000011009	1	11	4.24373759777973	[ 3.540,24.063]	494.659182	[1.45e+01,2.43e+04]
ENSG00000011021	1	9	1.51206335358701	[ 1.350, 3.540)	10.033676	[2.85e+00,1.45e+01)
ENSG00000014914	0	12	0	[ 0.000, 0.297)	15.304939614625	[1.45e+01,2.43e+04]
ENSG00000016490	0	2	0	[ 0.000, 0.297)	638.71045	[1.45e+01,2.43e+04]
ENSG00000016602	1	3	5.93229329918271	[ 3.540,24.063]	250.540866	[1.45e+01,2.43e+04]
ENSG00000018625	1	8	2.44138923386358	[ 1.350, 3.540)	4.9181665	[2.85e+00,1.45e+01)
ENSG00000020129	0	6	0	[ 0.000, 0.297)	7.352097	[2.85e+00,1.45e+01)
ENSG00000020633	1	6	6.30734908700283	[ 3.540,24.063]	4.6427501	[2.85e+00,1.45e+01)
ENSG00000021852	0	6	0	[ 0.000, 0.297)	0	[0.00e+00,2.77e-01)
ENSG00000023572	1	3	1.66694289155165	[ 1.350, 3.540)	26.08300875	[1.45e+01,2.43e+04]
ENSG00000023902	1	9	0.27709017686082	[ 0.000, 0.297)	39.130256	[1.45e+01,2.43e+04]
ENSG00000023909	0	3	0	[ 0.000, 0.297)	9.0411	[2.85e+00,1.45e+01)
ENSG00000024526	0	5	0	[ 0.000, 0.297)	2.091565	[2.77e-01,2.85e+00)
ENSG00000025800	0	6	0	[ 0.000, 0.297)	11.115852	[2.85e+00,1.45e+01)
ENSG00000026751	0	10	0	[ 0.000, 0.297)	48.6172	[1.45e+01,2.43e+04]
ENSG00000027644	0	1	0	[ 0.000, 0.297)	0.0109364	[0.00e+00,2.77e-01)
ENSG00000027869	1	6	0.160368566757718	[ 0.000, 0.297)	5.271985	[2.85e+00,1.45e+01)
ENSG00000028137	0	4	0	[ 0.000, 0.297)	36.246082	[1.45e+01,2.43e+04]
ENSG00000031698	0	6	0	[ 0.000, 0.297)	100.84792	[1.45e+01,2.43e+04]
ENSG00000033122	0	7	0	[ 0.000, 0.297)	2.2800375	[2.77e-01,2.85e+00)
ENSG00000034971	0	1	0	[ 0.000, 0.297)	3.62229	[2.85e+00,1.45e+01)
ENSG00000035687	1	3	2.10762045175618	[ 1.350, 3.540)	19.311549	[1.45e+01,2.43e+04]
ENSG00000036549	0	11	0	[ 0.000, 0.297)	14.809371	[1.45e+01,2.43e+04]
ENSG00000037637	1	4	1.64454376379204	[ 1.350, 3.540)	5.2690039	[2.85e+00,1.45e+01)
ENSG00000040487	0	6	0	[ 0.000, 0.297)	5.356862272823	[2.85e+00,1.45e+01)
ENSG00000041988	0	8	0	[ 0.000, 0.297)	6.030637	[2.85e+00,1.45e+01)
ENSG00000042781	0	5	0	[ 0.000, 0.297)	0.0260313	[0.00e+00,2.77e-01)
ENSG00000043514	1	20	0.0421802788400686	[ 0.000, 0.297)	11.813983745	[2.85e+00,1.45e+01)
ENSG00000044012	0	1	0	[ 0.000, 0.297)	67.3321	[1.45e+01,2.43e+04]
ENSG00000047410	1	8	3.04876582238028	[ 1.350, 3.540)	18.43601445	[1.45e+01,2.43e+04]
ENSG00000048707	0	16	0	[ 0.000, 0.297)	14.257150464	[2.85e+00,1.45e+01)
ENSG00000049089	1	11	0.357919549321896	[ 0.297, 1.350)	4.73092145	[2.85e+00,1.45e+01)
ENSG00000049239	0	3	0	[ 0.000, 0.297)	10.251448	[2.85e+00,1.45e+01)
ENSG00000049245	0	3	0	[ 0.000, 0.297)	72.303063	[1.45e+01,2.43e+04]
ENSG00000049246	0	7	0	[ 0.000, 0.297)	8.917632	[2.85e+00,1.45e+01)
ENSG00000049247	0	3	0	[ 0.000, 0.297)	0.487135	[2.77e-01,2.85e+00)
ENSG00000049249	1	3	4.23968309982269	[ 3.540,24.063]	0.69993735	[2.77e-01,2.85e+00)
ENSG00000050628	0	12	0	[ 0.000, 0.297)	3.9685744	[2.85e+00,1.45e+01)
ENSG00000052723	1	10	0.016917586577176	[ 0.000, 0.297)	19.170846	[1.45e+01,2.43e+04]
ENSG00000053371	1	5	4.95614718703651	[ 3.540,24.063]	15.4927945	[1.45e+01,2.43e+04]
ENSG00000053372	1	3	6.47342512240042	[ 3.540,24.063]	9.4947255	[2.85e+00,1.45e+01)
ENSG00000054116	1	7	4.58228113391839	[ 3.540,24.063]	20.71970523	[1.45e+01,2.43e+04]
ENSG00000054118	1	4	0.251333108797807	[ 0.000, 0.297)	45.870956	[1.45e+01,2.43e+04]
ENSG00000054267	0	13	0	[ 0.000, 0.297)	16.8424325	[1.45e+01,2.43e+04]
ENSG00000054277	0	7	0	[ 0.000, 0.297)	16.652399	[1.45e+01,2.43e+04]
ENSG00000054282	1	14	2.2508319036501	[ 1.350, 3.540)	9.03023165	[2.85e+00,1.45e+01)
ENSG00000054392	0	11	0	[ 0.000, 0.297)	3.4527564	[2.85e+00,1.45e+01)
ENSG00000054523	1	10	0.0621305573966222	[ 0.000, 0.297)	10.8021795234975	[2.85e+00,1.45e+01)
ENSG00000055070	0	11	0	[ 0.000, 0.297)	63.462746	[1.45e+01,2.43e+04]
ENSG00000055732	0	8	0	[ 0.000, 0.297)	0.92578628	[2.77e-01,2.85e+00)
ENSG00000057252	0	5	0	[ 0.000, 0.297)	17.42778	[1.45e+01,2.43e+04]
ENSG00000057468	0	1	0	[ 0.000, 0.297)	0.0260511	[0.00e+00,2.77e-01)
ENSG00000057757	1	3	0.395350217580199	[ 0.297, 1.350)	31.61738	[1.45e+01,2.43e+04]
ENSG00000058085	0	4	0	[ 0.000, 0.297)	19.728373	[1.45e+01,2.43e+04]
ENSG00000058453	0	13	0	[ 0.000, 0.297)	10.5966538	[2.85e+00,1.45e+01)
ENSG00000058668	0	9	0	[ 0.000, 0.297)	28.3242002149447	[1.45e+01,2.43e+04]
ENSG00000058673	0	13	0	[ 0.000, 0.297)	51.06391	[1.45e+01,2.43e+04]
ENSG00000058799	0	9	0	[ 0.000, 0.297)	22.077603	[1.45e+01,2.43e+04]
ENSG00000058804	0	5	0	[ 0.000, 0.297)	15.67345	[1.45e+01,2.43e+04]
ENSG00000059588	0	9	0	[ 0.000, 0.297)	15.966911	[1.45e+01,2.43e+04]
ENSG00000060642	1	7	2.37692142078306	[ 1.350, 3.540)	6.2249449	[2.85e+00,1.45e+01)
ENSG00000060656	0	13	0	[ 0.000, 0.297)	10.8816409010743	[2.85e+00,1.45e+01)
ENSG00000060688	0	8	0	[ 0.000, 0.297)	26.742966	[1.45e+01,2.43e+04]
ENSG00000060718	0	10	0	[ 0.000, 0.297)	0.2931254227	[2.77e-01,2.85e+00)
ENSG00000064703	1	6	0.0840818189572812	[ 0.000, 0.297)	5.644458	[2.85e+00,1.45e+01)
ENSG00000064886	0	17	0	[ 0.000, 0.297)	4.755764	[2.85e+00,1.45e+01)
ENSG00000065135	1	1	7.85846760713061	[ 3.540,24.063]	20.1494995	[1.45e+01,2.43e+04]
ENSG00000065183	0	4	0	[ 0.000, 0.297)	15.8702	[1.45e+01,2.43e+04]
ENSG00000065243	0	8	0	[ 0.000, 0.297)	21.995417	[1.45e+01,2.43e+04]
ENSG00000065526	1	5	6.23109946147534	[ 3.540,24.063]	7.186439	[2.85e+00,1.45e+01)
ENSG00000065600	1	5	0.29170845397689	[ 0.000, 0.297)	5.031839	[2.85e+00,1.45e+01)
ENSG00000065978	0	4	0	[ 0.000, 0.297)	553.3907	[1.45e+01,2.43e+04]
ENSG00000066027	0	4	0	[ 0.000, 0.297)	25.11462	[1.45e+01,2.43e+04]
ENSG00000066056	1	12	1.54467433553708	[ 1.350, 3.540)	16.6057099	[1.45e+01,2.43e+04]
ENSG00000066135	1	5	0.0227133525091378	[ 0.000, 0.297)	16.60826	[1.45e+01,2.43e+04]
ENSG00000066136	0	24	0	[ 0.000, 0.297)	29.8919672	[1.45e+01,2.43e+04]
ENSG00000066185	1	4	2.4570952051474	[ 1.350, 3.540)	7.67323975	[2.85e+00,1.45e+01)
